src,dest
Eugène Pottier,Pierre-Jean de Béranger
Eugène Pottier,Léopold Sédar Senghor
Saint-Pol-Roux,Victor Segalen
Louis Aragon,Saint-Pol-Roux
Saint-Pol-Roux,Stéphane Mallarmé
André Breton,Saint-Pol-Roux
Fernando Arrabal,Tristan Tzara
Fernando Arrabal,Michel Leiris
Fernando Arrabal,Victor Hugo
Boris Vian,Fernando Arrabal
Alfred Jarry,Fernando Arrabal
Fernando Arrabal,Jacques Prévert
Arthur Rimbaud,Fernando Arrabal
André Breton,Fernando Arrabal
Fernando Arrabal,Raymond Queneau
Francis Jammes,Paul Claudel
Francis Jammes,Henri de Régnier
Francis Jammes,Stéphane Mallarmé
Anna de Noailles,Marcel Proust
Anna de Noailles,Paul Valéry
Anna de Noailles,Frédéric Mistral
Anna de Noailles,Max Jacob
Anna de Noailles,Francis Jammes
Anna de Noailles,Jean Cocteau
Charles-Augustin Sainte-Beuve,Marcel Proust
Charles-Augustin Sainte-Beuve,Victor Hugo
Anne Hébert,Antoine de Saint-Exupéry
Jean Racine,Louis-Sébastien Mercier
Alfred de Vigny,Charles Nodier
Charles Nodier,François-René de Chateaubriand
Charles Baudelaire,Charles Nodier
Gaston Bachelard,Hélène Cixous
François-René de Chateaubriand,Paul Claudel
Alfred de Vigny,François-René de Chateaubriand
Charles Baudelaire,François-René de Chateaubriand
François-René de Chateaubriand,Léon Bloy
Jean Cocteau,Louis Aragon
Françoise Sagan,Jean Cocteau
Jean Cocteau,Marie Laurencin
André Breton,Jean Cocteau
Jean Cocteau,Jean Genet
Georges Duhamel,Jacques Laurent
Georges Duhamel,Hervé Le Tellier
Georges Duhamel,Éric Vuillard
Georges Duhamel,René Maran
Béatrix Beck,Georges Duhamel
Henri de Régnier,Stéphane Mallarmé
Henri de Régnier,Marie de Heredia
Henri Michaux,Michel Butor
Gaston Bachelard,Michel Butor
Arthur Rimbaud,Michel Butor
Charles Baudelaire,Michel Butor
Alain Mabanckou,Michel Butor
Hervé Le Tellier,Jacques Laurent
Jacques Laurent,Éric Vuillard
Jacques Laurent,René Maran
Béatrix Beck,Jacques Laurent
Gaston Miron,Julos Beaucarne
Julos Beaucarne,Paul Verlaine
Julos Beaucarne,Victor Hugo
Jules Supervielle,Paul Valéry
Jules Supervielle,René Char
Jacques Réda,Jules Supervielle
Henri Michaux,Jules Supervielle
Francis Ponge,Jules Supervielle
Jules Supervielle,Saint-John Perse
Jules Supervielle,Philippe Jaccottet
Marcel Proust,Saint-John Perse
Jules Romains,Saint-John Perse
René Char,Saint-John Perse
Saint-John Perse,Valery Larbaud
Francis Jammes,Saint-John Perse
Jean Cocteau,Saint-John Perse
Georges Duhamel,Saint-John Perse
François Mauriac,Saint-John Perse
André Breton,Saint-John Perse
André Suarès,Paul Valéry
André Suarès,Charles Péguy
André Suarès,Paul Claudel
Pierre de Ronsard,Étienne de La Boétie
Paul Verlaine,Émile Nelligan
Arthur Rimbaud,Émile Nelligan
Charles Baudelaire,Émile Nelligan
François Xavier,François Xavier
François Xavier,Léon Bloy
Alphonse Allais,Voltaire
Françoise Sagan,Marcel Proust
Françoise Sagan,Molière
Blaise Cendrars,Marie Laurencin
Marie Laurencin,Max Jacob
Marie Laurencin,Pierre Reverdy
Antoine de Rivarol,Sébastien-Roch Nicolas de Chamfort
Molière,Sébastien-Roch Nicolas de Chamfort
Sébastien-Roch Nicolas de Chamfort,Voltaire
Jules Supervielle,Vénus Khoury-Ghata
François Mauriac,René de Obaldia
Antoine de Saint-Exupéry,François Mauriac
Francis Carco,François Mauriac
Blaise Cendrars,Philippe Jaccottet
Andrée Chedid,Louise Labé
Paul Fort,Paul Valéry
Paul Fort,Théodore de Banville
Paul Fort,Paul Verlaine
Alfred Jarry,Paul Fort
Paul Fort,Pierre Louÿs
Catulle Mendès,Paul Fort
Paul Fort,Remy de Gourmont
Guillaume Apollinaire,Paul Fort
Paul Fort,Stéphane Mallarmé
Marc-Édouard Nabe,Serge Gainsbourg
Léon Bloy,Marc-Édouard Nabe
Louis Calaferte,Paul Léautaud
Aimé Césaire,Léon-Gontran Damas
Henry de Montherlant,Marie Noël
Jean Cocteau,Marie Noël
François Mauriac,Marie Noël
Jules Renard,Stéphane Mallarmé
Charles Baudelaire,Stéphane Mallarmé
Hervé Le Tellier,Jacques Roubaud
Hervé Le Tellier,Éric Vuillard
Hervé Le Tellier,Raymond Queneau
Hervé Le Tellier,René Maran
Béatrix Beck,Hervé Le Tellier
André Chénier,Fabre d'Églantine
Fabre d'Églantine,Molière
Fabre d'Églantine,Voltaire
Fabre d'Églantine,François-René de Chateaubriand
René Maran,Éric Vuillard
Béatrix Beck,Éric Vuillard
Philippe Soupault,René Daumal
Alfred Jarry,Philippe Soupault
Julien Gracq,Philippe Soupault
André Breton,Philippe Soupault
Philippe Soupault,Raymond Queneau
Philippe Soupault,Pierre Reverdy
Molière,Pierre-Augustin Caron de Beaumarchais
Pierre-Augustin Caron de Beaumarchais,Voltaire
MC Solaar,Serge Gainsbourg
Guillaume Apollinaire,Serge Gainsbourg
Charles Baudelaire,Serge Gainsbourg
Charles Perrault,Jean de La Fontaine
Jean Racine,Jean de La Fontaine
François de Malherbe,Jean de La Fontaine
Marie de Heredia,Paul Valéry
José-Maria de Heredia,Marie de Heredia
Anatole France,Marie de Heredia
Marie de Heredia,Paul Bourget
Marie de Heredia,Pierre Louÿs
Leconte de Lisle,Marie de Heredia
Anna de Noailles,Marie de Heredia
Marie de Heredia,Stéphane Mallarmé
Arthur Rimbaud,Paul Valéry
Arthur Rimbaud,Théodore de Banville
Arthur Rimbaud,Victor Hugo
Arthur Rimbaud,Stéphane Mallarmé
Arthur Rimbaud,Charles Baudelaire
Arthur Rimbaud,Vitalie Rimbaud
Honoré d'Urfé,Pierre de Ronsard
Mouloud Mammeri,Tahar Djaout
Charlotte Delbo,Louis Aragon
Jean Racine,Marcel Proust
Antonin Artaud,Jean Racine
Charles Baudelaire,Jean Racine
Jean Racine,Pierre Corneille
Antoine de Saint-Exupéry,Francis Carco
Jacques Roumain,Oswald Durand
Oswald Durand,René Depestre
André Breton,Paul Valéry
André Breton,Jacques Roumain
André Breton,Maurice Maeterlinck
André Breton,Max Jacob
André Breton,Stéphane Mallarmé
André Breton,Arthur Rimbaud
André Breton,Jean Tardieu
André Breton,Raymond Queneau
André Breton,Pierre Reverdy
